,topic,title,date,search_date,link,tags
224,Mercado,"Ibovespa abre em recuperação, commodities sobem e dólar cai: Petrobras (PETR4) avança 3%",25/10/2021 10:51,2022-08-04 00:16:16,https://www.suno.com.br/noticias/ibovespa-recuperacao-petrobras-petr4-25102021/,"['Ibovespa', 'Eletrobras (ELET3/ELET5/ELET6)', 'Especialistas', 'Hypera Pharma (HYPE3)', 'Ibovespa', 'Vale (VALE3)']"
231,Mercado,"Ibovespa abre em alta, aos 112 mil pontos, com Payroll e IPCA; Usiminas (USIM5) avança 5%",08/10/2021 11:00,2022-08-04 00:16:18,https://www.suno.com.br/noticias/ibovespa-abre-alta-payroll-eua-ipca/,"['Ibovespa', 'Azul', 'AZUL4', 'Especialistas', 'Ibovespa', 'Méliuz (CASH3)', 'Vale (VALE3)']"
234,Negócios,"Radar: CPFL (CPFE3) pagará dividendos bilionários, Engie (EGIE3) vende complexo termelétrico e JBS (JBSS3) vai emitir debêntures de R$ 1,2 bi",18/10/2021 21:53,2022-08-04 00:16:19,https://www.suno.com.br/noticias/radar-cpfl-cpfe3-engie-egie3-jbs-jbss3/,"['Vale (VALE3)', 'CPFL (CPFE3)', 'Engie (EGIE3)', 'Enjoei (ENJU3)', 'JBS (JBSS3)', 'Locaweb (LWSA3)', 'MRV (MRVE3)', 'Vale (VALE3)']"
235,Negócios,"Klabin (KLBN11), Hapvida (HAPV3) e Méliuz (CASH3) estão no radar",08/10/2021 10:23,2022-08-04 00:16:20,https://www.suno.com.br/noticias/klabin-klbn11-hapvida-hapv3-e-meliuz-cash3-estao-no-radar/,"['Vale (VALE3)', 'destaques de empresas', 'Hapvida (HAPV3)', 'Klabin (KLBN11/KLBN3/KLBN4)', 'Méliuz (CASH3)', 'Vale (VALE3)']"
243,Negócios,"Radar: Nubank (NUBR33) diminui prejuízo no 4T21, Telefônica (VIVT3) dobra lucro e Cosan (CSAN3) faz acordo com Porto (PSSA3)",22/02/2022 23:12,2022-05-03 16:28:23,https://www.suno.com.br/noticias/radar-nubank-nubr33-telefonica-vivt3-cosan-csan3/,"['americanas S.A (AMER3)', 'BRF (BRFS3)', 'Cosan (CSAN3)', 'Eletrobras (ELET3/ELET5/ELET6)', 'Nubank (NUBR33)', 'Porto Seguro (PSSA3)', 'Telefônica (VIVT3)', 'Vale (VALE3)']"
253,Negócios,"Radar: Mercado Livre (MELI34) é o BDR mais negociado, Renner (LREN3) atualiza JCP, Eletrobras (ELET3) pode fechar Angra 3",07/04/2022 21:23,2022-05-03 16:29:26,https://www.suno.com.br/noticias/radar-mercado-livre-meli34-renner-vale-vale3/,"['Azul', 'AZUL4', 'Eletrobras (ELET3/ELET5/ELET6)', 'Lojas Renner (LREN3)', 'Mercado Livre (MELI34)', 'Vale (VALE3)']"
261,Mercado,"Ibovespa abre em alta, aos 112 mil pontos, com Payroll e IPCA; Usiminas (USIM5) avança 5%",08/10/2021 11:00,2022-05-03 16:29:50,https://www.suno.com.br/noticias/ibovespa-abre-alta-payroll-eua-ipca/,"['Azul', 'AZUL4', 'Especialistas', 'Ibovespa', 'Méliuz (CASH3)', 'Vale (VALE3)']"
262,Negócios,Analistas elegem balanços surpreendentes e decepcionantes do 4T21,30/03/2022 15:54,2022-05-03 16:29:50,https://www.suno.com.br/noticias/balancos-4t21-analistas-elegem-resultados-surpreendentes-decepcionantes/,"['Assaí (ASAI3)', 'AZUL4', 'Banco Inter (BIDI11/BIDI4/BIDI3)', 'BB Seguridade (BBSE3)', 'Carrefour (CRFB3)', 'Cielo (CIEL3)', 'Cogna (COGN3)', 'CSN (CSNA3)', 'Gerdau (GGBR3/GGBR4)', 'Gol Linhas Aéreas (GOLL11/GOLL4)', 'Grupo Pão de Açúcar (PCAR3/PCAR4)', 'IRB Brasil (IRBR3)', 'Jalles Machado (JALL3)', 'Kepler Weber (KEPL11/KEPL3)', 'Magazine Luiza (MGLU3)', 'Porto Seguro (PSSA3)', 'São Martinho (SMTO3)', 'Simpar (SIMH3)', 'SulAmérica (SULA11/SULA3/SULA4)', 'Tenda (TEND3)', 'Unipar (UNIP3/UNIP5/UNIP6)', 'Vale (VALE3)']"
270,Negócios,"Klabin (KLBN11), Hapvida (HAPV3) e Méliuz (CASH3) estão no radar",08/10/2021 10:23,2022-05-03 16:30:04,https://www.suno.com.br/noticias/klabin-klbn11-hapvida-hapv3-e-meliuz-cash3-estao-no-radar/,"['destaques de empresas', 'Hapvida (HAPV3)', 'Klabin (KLBN11/KLBN3/KLBN4)', 'Méliuz (CASH3)', 'Vale (VALE3)']"
284,Mercado,"Ibovespa sobe 1,4% com agito da agenda econômica externa; Banco Pan (BPAN4) dispara 7%",13/10/2021 13:29,2022-05-03 16:30:14,https://www.suno.com.br/noticias/ibovespa-hoje-inflacao-eua-pao-de-acucar-pcar3-13102021/,"['Banco Pan (BPAN4)', 'Bolsa de Valores de São Paulo (B3)', 'Especialistas', 'Ibovespa', 'minério de ferro', 'Vale (VALE3)']"
